Time (s);Furnace Temperature (°C);Sample Temperature (°C);TG (mg)
0;50.026.184;45.793.053;54.190.552
0,2;5.002.491;45.793.053;54.190.521
0,4;50.022.881;45.797.291;54.190.494
0,6;5.001.963;45.799.223;5.419.046
0,8;50.015.919;45.804.393;5.419.043
1;50.012.432;45.810.965;54.190.399
1,2;50.009.006;45.818.224;54.190.373
1,4;50.006.275;4.582.745;5.419.035
1,6;50.004.875;45.837.097;54.190.327
1,8;50.004.059;45.847.124;54.190.308
2;50.002.605;45.858.168;54.190.292
2,2;50.000.805;45.868.668;54.190.273
2,4;49.999.756;45.878.834;54.190.262
2,6;50.000.103;45.890.018;5.419.025
2,8;50.000.801;45.900.017;54.190.239
3;50.001.556;45.908.375;54.190.235
3,2;50.002.544;45.913.976;54.190.227
3,4;50.003.365;45.916.423;5.419.022
3,6;50.003.651;45.916.992;54.190.216
