energy,delta,beta
7000.0,3.30744042e-05,9.35900857e-07
9000.0,1.61349817e-05,2.77590811e-06
11000.0,1.37674915e-05,1.36813242e-06
13000.0,1.00611278e-05,7.45102852e-07
15000.0,7.61169986e-06,4.38359564e-07
17000.0,5.94175708e-06,2.74006197e-07
