SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42015,201939,0041500407,"Jun 19, 2016",GSW vs. CLE,L,39,6,19,0.316,4,14,0.286,1,1,1.0,0,5,5,2,1,1,4,4,17,-3,1
42015,201939,0041500406,"Jun 16, 2016",GSW @ CLE,L,35,8,20,0.4,6,13,0.462,8,9,0.889,0,2,2,1,1,0,4,6,30,-11,1
42015,201939,0041500405,"Jun 13, 2016",GSW vs. CLE,L,40,8,21,0.381,5,15,0.333,4,4,1.0,2,5,7,4,0,3,4,2,25,-6,1
42015,201939,0041500404,"Jun 10, 2016",GSW @ CLE,W,40,11,25,0.44,7,13,0.538,9,10,0.9,3,2,5,6,2,0,3,3,38,10,1
42015,201939,0041500403,"Jun 08, 2016",GSW @ CLE,L,31,6,13,0.462,3,9,0.333,4,4,1.0,1,0,1,3,2,0,6,4,19,-22,1
42015,201939,0041500402,"Jun 05, 2016",GSW vs. CLE,W,25,7,11,0.636,4,8,0.5,0,0,0.0,1,8,9,4,0,1,4,4,18,25,1
42015,201939,0041500401,"Jun 02, 2016",GSW vs. CLE,W,36,4,15,0.267,3,8,0.375,0,0,0.0,1,4,5,6,0,0,5,2,11,-1,1
42015,201939,0041500317,"May 30, 2016",GSW vs. OKC,W,40,13,24,0.542,7,12,0.583,3,3,1.0,1,4,5,8,0,0,3,1,36,18,1
42015,201939,0041500316,"May 28, 2016",GSW @ OKC,W,41,9,22,0.409,6,14,0.429,7,9,0.778,2,8,10,9,2,0,3,3,31,12,1
42015,201939,0041500315,"May 26, 2016",GSW vs. OKC,W,37,9,20,0.45,3,8,0.375,10,10,1.0,0,7,7,6,5,0,5,0,31,6,1
42015,201939,0041500314,"May 24, 2016",GSW @ OKC,L,39,6,20,0.3,2,10,0.2,5,7,0.714,0,5,5,5,2,0,6,2,19,-19,1
42015,201939,0041500313,"May 22, 2016",GSW @ OKC,L,30,7,17,0.412,3,11,0.273,7,8,0.875,0,5,5,3,2,0,1,1,24,-39,1
42015,201939,0041500312,"May 18, 2016",GSW vs. OKC,W,30,9,15,0.6,5,8,0.625,5,5,1.0,0,2,2,3,1,0,3,0,28,24,1
42015,201939,0041500311,"May 16, 2016",GSW vs. OKC,L,40,9,22,0.409,6,14,0.429,2,2,1.0,1,9,10,7,3,0,7,3,26,-6,1
42015,201939,0041500225,"May 11, 2016",GSW vs. POR,W,36,10,20,0.5,5,11,0.455,4,4,1.0,0,5,5,11,1,0,4,2,29,10,1
42015,201939,0041500224,"May 09, 2016",GSW @ POR,W,37,16,32,0.5,5,16,0.313,3,3,1.0,1,8,9,8,0,0,4,2,40,21,1
42015,201939,0041500144,"Apr 24, 2016",GSW @ HOU,W,19,2,9,0.222,1,7,0.143,1,1,1.0,0,0,0,5,1,0,5,0,6,0,1
42015,201939,0041500141,"Apr 16, 2016",GSW vs. HOU,W,20,8,13,0.615,5,7,0.714,3,3,1.0,1,6,7,2,3,0,4,0,24,28,1
