SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42002,977,0040200226,"May 15, 2003",LAL vs. SAS,L,43,9,19,0.474,2,5,0.4,0,2,0.0,0,2,2,6,1,0,7,4,20,-20,0
42002,977,0040200225,"May 13, 2003",LAL @ SAS,L,48,15,31,0.484,5,11,0.455,1,2,0.5,2,5,7,6,2,0,4,3,36,-2,0
42002,977,0040200224,"May 11, 2003",LAL vs. SAS,W,40,10,24,0.417,1,4,0.25,14,17,0.824,2,5,7,3,2,1,2,5,35,-2,0
42002,977,0040200223,"May 09, 2003",LAL vs. SAS,W,43,10,23,0.435,2,4,0.5,17,19,0.895,2,2,4,4,1,0,4,2,39,23,0
42002,977,0040200222,"May 07, 2003",LAL @ SAS,L,41,9,24,0.375,2,6,0.333,7,10,0.7,0,6,6,1,0,0,5,4,27,-22,0
42002,977,0040200221,"May 05, 2003",LAL @ SAS,L,45,16,38,0.421,3,4,0.75,2,2,1.0,1,3,4,2,0,0,5,3,37,1,0
42002,977,0040200176,"May 01, 2003",LAL vs. MIN,W,42,14,26,0.538,2,7,0.286,1,2,0.5,1,1,2,8,1,0,2,4,31,19,0
42002,977,0040200175,"Apr 29, 2003",LAL @ MIN,W,40,12,21,0.571,2,4,0.5,6,8,0.75,3,5,8,5,1,0,2,0,32,29,0
42002,977,0040200174,"Apr 27, 2003",LAL vs. MIN,W,47,7,25,0.28,2,3,0.667,16,17,0.941,1,4,5,5,3,0,1,2,32,5,0
42002,977,0040200173,"Apr 24, 2003",LAL vs. MIN,L,51,10,28,0.357,1,5,0.2,9,10,0.9,3,4,7,6,1,0,6,1,30,-3,0
42002,977,0040200172,"Apr 22, 2003",LAL @ MIN,L,46,9,28,0.321,2,6,0.333,7,9,0.778,0,4,4,8,1,0,3,4,27,-26,0
42002,977,0040200171,"Apr 20, 2003",LAL @ MIN,W,45,16,30,0.533,1,3,0.333,6,6,1.0,1,4,5,8,1,0,1,3,39,18,0
