id,sample_id,actual_class,actual_quantity,nn_pred_quantity,nn_pred_prob,nn_pred_energy,nn_pred_api,nn_pred_api_prob,nn_pred_api_energy
15229,53848,amoxicillin,100,100,0.9935127,-4.268341,Amoxicillin,0.99990153,16.626171
15233,53697,amoxicillin,100,100,0.99991214,-1.4937116,Amoxicillin,0.999782,15.910532
15236,53703,amoxicillin,100,100,0.99777466,-1.6154174,Amoxicillin,0.9968561,14.064292
15238,53703,amoxicillin,100,100,0.9982223,-2.1022923,Amoxicillin,0.9985043,14.516852
15253,53712,amoxicillin,80,80,0.87502944,-6.4623966,Amoxicillin,0.9998435,16.75993
15261,53713,amoxicillin,80,100,0.9630052,-5.884946,Amoxicillin,0.99903667,15.115502
15265,53697,amoxicillin,100,100,0.99979573,-2.5813653,Amoxicillin,0.99996436,16.797903
15266,53712,amoxicillin,80,100,0.54669887,-5.779896,Amoxicillin,0.9995142,16.062056
15268,53723,amoxicillin,80,100,0.9934947,-3.315073,Amoxicillin,0.99996424,16.915754
15278,53721,amoxicillin,100,80,0.9920121,-6.8561125,Amoxicillin,0.9996598,15.123513
15281,53848,amoxicillin,100,100,0.94518304,-4.9485126,Amoxicillin,0.9998628,16.78053
15285,53717,amoxicillin,80,100,0.9884763,-4.557873,Amoxicillin,0.99979824,16.373575
15286,53696,amoxicillin,100,100,0.67388386,-3.376264,Amoxicillin,0.99998343,17.421312
15287,53696,amoxicillin,100,100,0.83830065,-2.654062,Amoxicillin,0.99997556,16.972868
15289,53721,amoxicillin,100,100,0.70104396,-6.899526,Amoxicillin,0.99979573,15.201107
15292,53734,amoxicillin,80,100,0.9999101,-0.24040268,Amoxicillin,0.9999461,17.106968
15294,53723,amoxicillin,80,100,0.7940489,-6.0101523,Amoxicillin,0.9999902,16.7804
15297,53713,amoxicillin,80,100,0.64251333,-8.33906,Amoxicillin,0.99978715,15.838864
15302,53715,amoxicillin,80,100,0.97422326,-3.4868848,Amoxicillin,0.99992204,15.828933
15310,53742,amoxicillin,50,100,0.68163365,-6.745218,Amoxicillin,0.9998172,16.525236
15311,53742,amoxicillin,50,100,0.8627607,-6.824847,Amoxicillin,0.9998667,16.616766
15312,53740,amoxicillin,50,100,0.68713975,-5.4063582,Amoxicillin,0.99984515,16.18304
15315,53742,amoxicillin,50,100,0.9961934,-2.74524,Amoxicillin,0.99985766,16.216002
15316,53740,amoxicillin,50,100,0.9342062,-4.841436,Amoxicillin,0.99960095,15.737054
15320,53882,amoxicillin,50,100,0.9999895,-0.29410166,Amoxicillin,0.9999763,16.152916
15321,53737,amoxicillin,50,100,0.5496979,-7.457685,Amoxicillin,0.99656624,15.168895
15322,53738,amoxicillin,50,50,0.99998665,1.218709,Amoxicillin,0.99992883,16.581045
15326,53717,amoxicillin,80,100,0.968129,-4.578022,Amoxicillin,0.99988675,16.612585
15327,53450,amoxicillin,80,100,0.9462033,-4.9291725,Amoxicillin,0.99990976,16.396166
15328,53450,amoxicillin,80,100,0.99623823,-2.7504067,Amoxicillin,0.99971455,16.061974
15329,53450,amoxicillin,80,100,0.99536246,-3.133741,Amoxicillin,0.9998228,16.163914
15330,53450,amoxicillin,80,100,0.92168164,-5.6752596,Amoxicillin,0.99997354,16.062897
15336,53734,amoxicillin,80,100,0.9983277,-2.3224869,Amoxicillin,0.9999677,17.094196
15337,53715,amoxicillin,80,100,0.9950477,-3.348999,Amoxicillin,0.99997115,17.164555
15345,53697,amoxicillin,100,100,0.99983037,-3.7000532,Amoxicillin,0.99997663,15.65236
15348,53703,amoxicillin,100,100,0.9965947,-2.4851446,Amoxicillin,0.981062,12.592002
15349,53712,amoxicillin,80,80,0.9809027,-5.435024,Amoxicillin,0.99994135,16.6717
15352,53848,amoxicillin,100,100,0.9792229,-6.451685,Amoxicillin,0.99998856,17.330688
15357,53703,amoxicillin,100,100,0.9818302,-5.9515643,Amoxicillin,0.9985304,14.18174
15364,53696,amoxicillin,100,50,0.92682654,-4.3770823,Amoxicillin,0.9999893,16.84148
15373,53696,amoxicillin,100,50,0.97390276,-2.4640265,Amoxicillin,0.9999912,17.184368
15379,53697,amoxicillin,100,100,0.99981457,-3.729814,Amoxicillin,0.99998605,16.292524
15382,53848,amoxicillin,100,100,0.9438885,-7.078926,Amoxicillin,0.9999875,16.941645
15400,53882,amoxicillin,50,50,0.68608904,-6.700537,Amoxicillin,0.9999943,16.795597
15403,52553,amoxicillin,20,20,0.9871725,0.72337615,Amoxicillin,0.999979,15.228598
15405,52553,amoxicillin,20,20,0.975179,0.3378046,Amoxicillin,0.9999796,15.270394
15413,53890,amoxicillin,20,20,0.99516064,-4.315721,Amoxicillin,0.9997944,15.70446
15415,52552,amoxicillin,50,100,0.7961112,-5.393766,Amoxicillin,0.9999243,16.068039
15416,53877,amoxicillin,50,100,0.6745883,-5.8806686,Amoxicillin,0.9999931,17.364231
15425,53742,amoxicillin,50,50,0.8765695,-6.8051805,Amoxicillin,0.9999783,17.08674
15427,53737,amoxicillin,50,50,0.9854563,-5.375485,Amoxicillin,0.9993548,14.980843
15433,52552,amoxicillin,50,100,0.69145864,-6.339948,Amoxicillin,0.9998926,15.780573
15434,53877,amoxicillin,50,50,0.98689413,-3.0012465,Amoxicillin,0.9997788,15.260823
15441,53738,amoxicillin,50,50,0.99999356,1.4859642,Amoxicillin,0.99996793,16.339508
15447,53882,amoxicillin,50,100,0.56551236,-6.28638,Amoxicillin,0.9999552,15.669467
15450,53740,amoxicillin,50,50,0.9087026,-5.1704063,Amoxicillin,0.99998856,16.593433
15452,53738,amoxicillin,50,50,0.9999932,0.5996844,Amoxicillin,0.9999528,15.775206
15456,53456,amoxicillin,20,20,0.99950993,0.010413266,Amoxicillin,0.99994946,15.426506
15462,53458,amoxicillin,20,50,0.89662796,-3.1815896,Amoxicillin,0.99998295,16.027306
15463,53452,amoxicillin,20,20,0.99950516,1.7800456,Amoxicillin,0.9996288,13.760172
15464,53453,amoxicillin,20,20,0.99979,3.2773762,Amoxicillin,0.9999436,14.934087
15472,52553,amoxicillin,20,20,0.9974809,0.32599634,Amoxicillin,0.99998224,15.585968
15476,53890,amoxicillin,20,20,0.9982968,-4.1511555,Amoxicillin,0.9999275,16.051575
15482,53458,amoxicillin,20,50,0.98881793,-1.7137054,Amoxicillin,0.9999826,15.913501
15483,53452,amoxicillin,20,20,0.999972,2.089409,Amoxicillin,0.9997427,13.953114
15484,53453,amoxicillin,20,20,0.99598867,1.4677233,Amoxicillin,0.99995875,15.305657
15488,53461,amoxicillin,20,20,0.9998987,-1.0165895,Amoxicillin,0.9999422,15.606844
15493,53458,amoxicillin,20,50,0.9996233,-1.7735445,Amoxicillin,0.9999429,14.279411
15494,53452,amoxicillin,20,20,0.9999783,1.7512505,Amoxicillin,0.9987571,12.648653
15495,53453,amoxicillin,20,20,0.9864639,-1.0231252,Amoxicillin,0.999803,13.843188
15498,53453,amoxicillin,20,20,0.9957495,1.7062645,Amoxicillin,0.999637,13.560363
15499,53452,amoxicillin,20,20,0.99992883,2.473163,Amoxicillin,0.9972988,12.645669
15500,53458,amoxicillin,20,50,0.9978485,-2.0453103,Amoxicillin,0.9999335,14.838695
15506,53456,amoxicillin,20,20,0.9992021,-0.7755133,Amoxicillin,0.99997246,14.64426
15509,53461,amoxicillin,20,20,0.9997454,-1.815368,Amoxicillin,0.9996911,14.400489
15515,53461,amoxicillin,20,20,0.99860734,-5.0664363,Amoxicillin,0.9997433,14.11046
15517,53456,amoxicillin,20,20,0.99950397,-0.50926095,Amoxicillin,0.99997294,14.952984
15525,53873,chloroquine,100,100,1.0,1.0688798,Chloroquine,0.9957183,13.269885
15529,53874,chloroquine,100,100,0.9999999,3.1395285,Chloroquine,0.95270354,12.861184
15538,53851,chloroquine,100,100,0.9999945,-1.8177872,Chloroquine,0.9996213,15.183649
15544,53447,chloroquine,100,100,0.9997154,-2.9932806,Chloroquine,0.9955505,14.260725
15547,53447,chloroquine,100,100,0.99994576,-2.0581076,Chloroquine,0.9707236,12.58958
15563,53873,chloroquine,100,100,1.0,1.3877324,Chloroquine,0.9971365,13.857559
15564,53874,chloroquine,100,100,1.0,3.3250883,Chloroquine,0.7267145,11.964561
15565,53447,chloroquine,100,100,0.9999765,-2.0413065,Chloroquine,0.97829676,13.250202
15566,53851,chloroquine,100,100,0.9999994,-0.5089259,Chloroquine,0.99912316,14.644563
15570,53857,chloroquine,100,100,0.9997787,-1.3140353,Chloroquine,0.99989295,15.698151
15574,53868,chloroquine,100,100,0.720743,-9.282366,Chloroquine,0.9999198,16.3972
15578,53869,chloroquine,100,100,1.0,0.22558315,Chloroquine,0.9998481,15.697332
