tradingsymbol,expiry,strike,lot_size,instrument_type,option_type
TCS25AUGFUT,2025-08-28,0.0,175.0,FUTSTK,FF
TCS25JULFUT,2025-07-31,0.0,175.0,FUTSTK,FF
TCS25JUNFUT,2025-06-26,0.0,175.0,FUTSTK,FF
