energy,delta,beta
7000.0,7.40175165e-06,1.44526609e-07
9000.0,4.45435853e-06,5.34273283e-08
11000.0,2.97202632e-06,2.40418405e-08
13000.0,2.12320037e-06,1.23493216e-08
15000.0,1.59228591e-06,6.98127289e-09
17000.0,1.23827192e-06,4.24344693e-09
