id,component,peaks,intensity
1,12-methyltetradecanoic acid,"[669, 772, 818, 840, 905, 983, 990, 1018, 1040, 1063, 1098, 1130, 1141, 1171, 1265, 1296, 1302, 1344, 1371, 1380, 1412, 1440, 1447, 1459, 1472, 1505, 1649]","[0.0663058511210542, 0.11500224269511967, 0.2819853268752775, 0.06717424202554888, 0.3075975276262832, 0.09302863703269725, 0.10571822216894201, 0.12521291727500936, 0.08183570672793813, 0.7965077238171802, 0.6637907987636037, 0.09079832698841687, 0.6473784765072207, 0.06096697595964989, 0.10162029741994935, 0.6546717799584348, 0.4843746050993277, 0.08069070933541848, 0.06074582915053037, 0.05789676459221833, 0.18307131422450654, 0.9847437006640987, 0.9183939853403156, 0.6360882168266239, 0.42264405417441303, 0.06116695071932221, 0.11879890778415067]"
2,13-methylmyristicacid,"[822, 907, 917, 936, 1061, 1098, 1134, 1170, 1272, 1296, 1371, 1410, 1447, 1469, 1492, 1649]","[0.12030360254332302, 0.13736232744449037, 0.13762411179026154, 0.031700413310823204, 0.1277535529635321, 0.11321578744392037, 0.10848439725822914, 0.02223667382780722, 0.044725337054391134, 0.17186945410808055, 0.02580994823138445, 0.04428366877398469, 0.8636682285758951, 0.6071825984255759, 0.07373475716427297, 0.05679787682575397]"
3,14-methylhexadecanoic acid,"[452, 667, 771, 788, 815, 834, 906, 969, 983, 995, 1006, 1031, 1062, 1104, 1140, 1170, 1186, 1253, 1296, 1344, 1370, 1411, 1441, 1465, 1479, 1649]","[0.030607124110252668, 0.051817886890176065, 0.056860507036468805, 0.040225683376226326, 0.05755492161701949, 0.05739591053674699, 0.17130539423299304, 0.044041357259748636, 0.0416875054710835, 0.05232580790232662, 0.04391048150753837, 0.0788242423221773, 0.30177928768989415, 0.2991467307084348, 0.2303416260557271, 0.01562430092314024, 0.018007321346218942, 0.031055525334207048, 0.2282058816828767, 0.02480344093368947, 0.03915948035087806, 0.05579702605587787, 0.6584025454716752, 0.49532139845068407, 0.3212721346744403, 0.07586354325029913]"
4,14-methylpentadecanoic acid,"[666, 815, 831, 904, 918, 940, 952, 1048, 1061, 1102, 1135, 1170, 1244, 1270, 1284, 1296, 1337, 1370, 1412, 1445, 1465, 1651]","[0.08649600341063801, 0.22924499349714125, 0.09329661934116311, 0.24803160063667148, 0.07623670716044166, 0.07166248458259476, 0.11053322536946457, 0.06584513158140429, 0.8332802803499841, 0.39946725661272764, 0.7063883081670713, 0.08657812682633306, 0.03397471676580866, 0.039943995782654625, 0.18969544866013488, 0.9713414184287249, 0.04153679805579786, 0.07565768872035085, 0.19363011658744747, 0.9534964005176599, 0.6510290997686136, 0.07805530044588088]"
5,15-methylpalmiticacid,"[467, 516, 666, 801, 820, 846, 905, 910, 930, 952, 1010, 1050, 1061, 1103, 1135, 1171, 1188, 1259, 1296, 1306, 1323, 1340, 1369, 1386, 1410, 1448, 1464, 1501, 1648]","[0.06344067601498096, 0.050376826866222586, 0.03863837709549054, 0.07199505413521544, 0.3812875458135758, 0.03299133020966566, 0.16056813027443914, 0.11022307412439857, 0.06399144504048722, 0.12073695273519412, 0.05193430920675358, 0.06493471910301901, 0.6580488428432841, 0.35969604863078064, 0.6992308447007313, 0.10085516556581464, 0.03369520717868035, 0.03241353611344315, 0.9775212885194465, 0.21863891749217043, 0.029852402190868873, 0.042019368666890614, 0.05358363435691767, 0.032051674858825076, 0.07991042443503212, 0.9515498531180856, 0.7178301487345877, 0.057194947067240536, 0.0529737897603444]"
6,acetoacetate,"[486, 498, 519, 551, 582, 640, 719, 761, 830, 903, 928, 1005, 1025, 1087, 1158, 1171, 1191, 1219, 1283, 1326, 1362, 1399, 1422, 1444, 1580, 1600, 1626, 1653, 1703, 1715]","[0.06439106672669359, 0.15669386652636663, 0.11334375981811474, 0.1755559111055723, 0.18456745373813427, 0.5522370601865686, 0.09974401322726698, 0.38857843637103123, 0.9991641666055359, 0.29232340578273364, 0.4354739509290327, 0.38442378304185576, 0.2210270569790098, 0.07615664656024697, 0.31812581007690716, 0.23784969656883176, 0.2951021213956172, 0.0692325012364871, 0.12173706390530943, 0.18687697560310285, 0.12137503646151229, 0.8401524216273145, 0.65332440886379, 0.7980477568064612, 0.16136060047101472, 0.05764031166121126, 0.05251100716314938, 0.08616763088119826, 0.8915921179918918, 0.4188773269598029]"
7,acetyl coenzyme a,"[496, 531, 564, 631, 683, 724, 799, 882, 926, 948, 1026, 1045, 1094, 1121, 1207, 1243, 1306, 1333, 1375, 1408, 1462, 1508, 1559, 1576, 1658]","[0.1950731190155493, 0.19865539447132063, 0.19065506016708686, 0.440217499223995, 0.07227548438645687, 1.0, 0.2977053190520513, 0.21090823613571882, 0.0918773918306176, 0.09126512743043858, 0.16689884087881238, 0.20317407491322462, 0.18274995096130858, 0.38155171909194274, 0.17132054365509664, 0.24165617222179914, 0.47485121784780887, 0.6903442616889731, 0.3322442547949839, 0.37714176779286884, 0.28584454309869783, 0.27135073769923346, 0.10399875048466937, 0.19006017792140506, 0.11223244493646296]"
8,adenine,"[536, 560, 623, 723, 898, 941, 1024, 1125, 1162, 1134, 1248, 1307, 1332, 1371, 1419, 1462, 1482, 1612]","[0.3307681737339085, 0.05352534636622935, 0.19877563871696488, 1.0, 0.0822630530340394, 0.20952888069931258, 0.0726019518427379, 0.1848138811591983, 0.03153649203953063, 0.058788571956441306, 0.2865758198222784, 0.09715834553908098, 0.4581528016632097, 0.11121787774251736, 0.05304069963147946, 0.081577595428075, 0.19127802519972012, 0.05082832104484841]"
9,amylopectin,"[477, 515, 578, 612, 717, 762, 769, 866, 905, 940, 1051, 1082, 1109, 1127, 1264, 1339, 1378, 1460]","[0.9924288760938414, 0.11437945788800977, 0.10908250265104247, 0.07900070392388667, 0.04944283384745003, 0.05410057580675532, 0.07656519553523854, 0.29315931049941935, 0.16254543701697285, 0.4766551055877002, 0.2840169075421013, 0.4041305436956643, 0.4118012643288992, 0.46435163668601176, 0.15691091934901072, 0.36774926718905127, 0.3088710685376619, 0.26077906044836136]"
10,amylose,"[481, 579, 712, 758, 854, 901, 936, 944, 1045, 1083, 1123, 1208, 1262, 1267, 1339, 1379, 1460]","[0.999261813663239, 0.22749666135713284, 0.07790342781617635, 0.09916756486878078, 0.526769994376624, 0.18601068604955, 0.6085467564518502, 0.4779775818207125, 0.42033573200949564, 0.667837509581887, 0.7153505326823991, 0.08949466576563382, 0.24528122937673666, 0.2090579429281404, 0.5970635295268212, 0.5136084313436989, 0.34111272789332636]"
