,SEASON,PACE
0,1997,87.2
1,1998,85.9
2,1999,85.7
3,2000,87.8
4,2001,89.66
5,2002,90.68
6,2003,90.59
7,2004,88.58
8,2005,89.26
9,2006,89.18
10,2007,89.54
11,2008,88.37
12,2009,88.54
13,2010,89.68
14,2011,87.62
15,2012,88.98
16,2013,89.36
17,2014,90.57
18,2015,94.21
19,2016,92.87
20,2017,94.34
21,2018,94.99
22,2019,96.97
23,2020,96.97
24,2021,95.68
25,2022,94.82
26,2023,95.81
27,2024,92.45
28,2025,95.07
