
+-------+--------------+--------------------------------+---------------------------+------------------+-----------+--------------------------+-----------------+-------------------------+------------------------------+------------------->
| dbms  | TABLE_SCHEMA | TABLE_NAME                     | COLUMN_NAME               | ORDINAL_POSITION | DATA_TYPE | CHARACTER_MAXIMUM_LENGTH | CONSTRAINT_TYPE | REFERENCED_TABLE_SCHEMA | REFERENCED_TABLE_NAME        | REFERENCED_COLUMN_>
+-------+--------------+--------------------------------+---------------------------+------------------+-----------+--------------------------+-----------------+-------------------------+------------------------------+------------------->
| mysql | wmagent      | dbsbuffer_file_parent          | child                     |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | dbsbuffer_file_parent          | parent                    |                2 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | dbsbuffer_file_parent          | child                     |                1 | int       |                     NULL | FOREIGN KEY     | wmagent                 | dbsbuffer_file               | id                >
| mysql | wmagent      | dbsbuffer_file_parent          | parent                    |                2 | int       |                     NULL | FOREIGN KEY     | wmagent                 | dbsbuffer_file               | id                >
| mysql | wmagent      | wmbs_subscription              | id                        |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_subscription              | fileset                   |                2 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_fileset                 | id                >
| mysql | wmagent      | wmbs_subscription              | subtype                   |                5 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_sub_types               | id                >
| mysql | wmagent      | wmbs_subscription              | workflow                  |                3 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_workflow                | id                >
| mysql | wmagent      | wm_components                  | id                        |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wm_components                  | name                      |                2 | varchar   |                      255 | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_location                  | id                        |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_location                  | site_name                 |                2 | varchar   |                      255 | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_location                  | state                     |                3 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_location_state          | id                >
| mysql | wmagent      | wmbs_location_state            | id                        |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | dbsbuffer_file                 | id                        |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | dbsbuffer_file                 | lfn                       |                2 | varchar   |                      500 | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | dbsbuffer_file                 | workflow                  |                9 | int       |                     NULL | FOREIGN KEY     | wmagent                 | dbsbuffer_workflow           | id                >
| mysql | wmagent      | dbsbuffer_file                 | dataset_algo              |                5 | int       |                     NULL | FOREIGN KEY     | wmagent                 | dbsbuffer_algo_dataset_assoc | id                >
| mysql | wmagent      | wmbs_job_state                 | id                        |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_file_checksums            | fileid                    |                1 | int       |                     NULL | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_file_checksums            | typeid                    |                2 | int       |                     NULL | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_file_checksums            | fileid                    |                1 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_file_details            | id                >
| mysql | wmagent      | wmbs_file_checksums            | typeid                    |                2 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_checksum_type           | id                >
| mysql | wmagent      | wmbs_workunit                  | id                        |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_workunit                  | taskid                    |                2 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_workflow                | id                >
| mysql | wmagent      | wmbs_frl_workunit_assoc        | workunit                  |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_frl_workunit_assoc        | fileid                    |                4 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_frl_workunit_assoc        | run                       |                5 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_frl_workunit_assoc        | lumi                      |                6 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_frl_workunit_assoc        | workunit                  |                1 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_workunit                | id                >
| mysql | wmagent      | wmbs_frl_workunit_assoc        | fileid                    |                4 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_file_runlumi_map        | fileid            >
| mysql | wmagent      | wmbs_frl_workunit_assoc        | run                       |                5 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_file_runlumi_map        | run               >
| mysql | wmagent      | wmbs_frl_workunit_assoc        | lumi                      |                6 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_file_runlumi_map        | lumi              >
| mysql | wmagent      | wmbs_file_parent               | child                     |                1 | int       |                     NULL | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_file_parent               | parent                    |                2 | int       |                     NULL | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_file_parent               | child                     |                1 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_file_details            | id                >
| mysql | wmagent      | wmbs_file_parent               | parent                    |                2 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_file_details            | id                >
| mysql | wmagent      | wmbs_file_location             | fileid                    |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_file_location             | pnn                       |                2 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_file_location             | fileid                    |                1 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_file_details            | id                >
| mysql | wmagent      | wmbs_file_location             | pnn                       |                2 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_pnns                    | id                >
| mysql | wmagent      | wmbs_fileset_files             | fileid                    |                1 | int       |                     NULL | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_fileset_files             | fileset                   |                2 | int       |                     NULL | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_fileset_files             | fileset                   |                2 | int       |                     NULL | FOREIGN KEY     | wmagent                 | wmbs_fileset                 | id                >
| mysql | wmagent      | wmbs_pnns                      | id                        |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | wmbs_pnns                      | pnn                       |                2 | varchar   |                      255 | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | dbsbuffer_dataset_subscription | id                        |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | dbsbuffer_dataset_subscription | dataset_id                |                2 | int       |                     NULL | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | dbsbuffer_dataset_subscription | site                      |                3 | varchar   |                      100 | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | dbsbuffer_dataset_subscription | custodial                 |                4 | int       |                     NULL | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | dbsbuffer_dataset_subscription | priority                  |                5 | varchar   |                       10 | UNIQUE          | NULL                    | NULL                         | NULL              >
| mysql | wmagent      | dbsbuffer_dataset_subscription | dataset_id                |                2 | int       |                     NULL | FOREIGN KEY     | wmagent                 | dbsbuffer_dataset            | id                >
