
 C:\WinTa100\DIL805.PRO\Data\Quenching\710-Zaira-Calentamiento-Zry4-M3-400C-10Cs-10s-1000C-10Cs-60s-241022-10.24.22.PAR
                Time - Temperature  /  rel. Change in Length  /  dif. Change in Length 
                  s                °C                    %
  2387        73,03217316      630,20642090        0,31001109        0,43539622
  2388        73,09141541      630,70526123        0,31052688        0,43500158
  2389        73,15186310      631,35375977        0,31090692        0,43539897
  2390        73,21228790      632,12579346        0,31087977        0,43951532
  2391        73,27158356      632,69915771        0,31109694        0,43603602
  2392        73,33203125      633,36676025        0,31193846        0,42117837
  2393        73,39128113      633,98901367        0,31185704        0,41296542
  2394        73,45169067      634,40197754        0,31204706        0,40865183
  2395        73,51219940      635,19232178        0,31234565        0,40459743
  2396        73,57147980      635,81488037        0,31253567        0,38805941
  2397        73,63204193      636,24938965        0,31267142        0,37924835
  2398        73,69129944      636,91973877        0,31275287        0,38563615
  2399        73,75178528      637,60400391        0,31318721        0,39203587
  2400        73,81221008      638,10101318        0,31356725        0,41096878
  2401        73,87152863      638,66986084        0,31356725        0,41423497
  2402        73,93197632      639,24804688        0,31392017        0,41323864
  2403        73,99126434      639,78460693        0,31413731        0,41407862
  2404        74,05175018      640,48864746        0,31470740        0,40631905
  2405        74,11226654      641,20941162        0,31478885        0,41703832
  2406        74,17149353      641,74230957        0,31487027        0,41079846
  2407        74,23196411      642,33056641        0,31508747        0,40615445
  2408        74,29238129      642,94036865        0,31519601        0,38894263
  2409        74,35159302      643,52416992        0,31565750        0,38063490
  2410        74,41215515      644,11938477        0,31595612        0,38888651
  2411        74,47135162      644,80535889        0,31625471        0,40539378
  2412        74,53179932      645,13140869        0,31628188        0,41965869
  2413        74,59224701      645,86096191        0,31652617        0,42281520
  2414        74,65163422      646,44665527        0,31666189        0,41538039
  2415        74,71205902      647,21643066        0,31720483        0,40379232
  2416        74,77130127      647,75433350        0,31739485        0,39464962
  2417        74,83178711      648,33880615        0,31766632        0,39730465
  2418        74,89223480      648,73254395        0,31772059        0,40304708
  2419        74,95152283      649,35589600        0,31826356        0,39076707
  2420        75,01197815      650,04797363        0,31818208        0,37817913
  2421        75,07128906      650,80999756        0,31845358        0,35181466
  2422        75,13177490      651,27111816        0,31867078        0,34239045
  2423        75,19231415      651,85839844        0,31891507        0,33686355
  2424        75,25151062      652,49176025        0,31918654        0,33802390
  2425        75,31189728      653,13208008        0,31932226        0,34378755
  2426        75,37232208      653,79339600        0,31937656        0,34948575
  2427        75,43157196      654,47393799        0,31953946        0,36780459
  2428        75,49207306      654,87188721        0,31997377        0,35956857
  2429        75,55140686      655,47442627        0,32013667        0,37166014
  2430        75,61186218      656,04180908        0,32019097        0,37360579
  2431        75,67236328      656,65045166        0,32084244        0,38253945
  2432        75,73156738      657,45361328        0,32076102        0,37717414
  2433        75,79200745      657,96875000        0,32130393        0,37551707
  2434        75,85128021      658,53625488        0,32114106        0,38281202
  2435        75,91177368      659,15594482        0,32157540        0,39009675
  2436        75,97219849      659,78656006        0,32162973        0,40315735
  2437        76,03141022      660,35662842        0,32195547        0,42036879
