Time (s);Furnace Temperature (°C);Sample Temperature (°C);TG (mg);HeatFlow (mW)
0;50.026.184;45.793.053;54.190.552;-12.356.778
0,2;5.002.491;45.793.053;54.190.521;-12.361.506
0,4;50.022.881;45.797.291;54.190.494;-12.365.421
0,6;5.001.963;45.799.223;5.419.046;-12.368.936
0,8;50.015.919;45.804.393;5.419.043;-12.370.074
1;50.012.432;45.810.965;54.190.399;-12.370.403
1,2;50.009.006;45.818.224;54.190.373;-12.370.318
1,4;50.006.275;4.582.745;5.419.035;-12.370.205
1,6;50.004.875;45.837.097;54.190.327;-12.370.466
1,8;50.004.059;45.847.124;54.190.308;-12.369.143
2;50.002.605;45.858.168;54.190.292;-12.367.411
2,2;50.000.805;45.868.668;54.190.273;-12.365.678
2,4;49.999.756;45.878.834;54.190.262;-12.364.343
2,6;50.000.103;45.890.018;5.419.025;-12.363.782
2,8;50.000.801;45.900.017;54.190.239;-12.363.624
3;50.001.556;45.908.375;54.190.235;-12.363.485
3,2;50.002.544;45.913.976;54.190.227;-12.362.982
3,4;50.003.365;45.916.423;5.419.022;-12.361.729
3,6;50.003.651;45.916.992;54.190.216;-12.362.074
3,8;50.003.651;45.917.671;54.190.216;-12.362.824
4;50.003.593;45.912.954;54.190.212;-12.362.827
4,2;50.003.304;4.590.661;54.190.208;-12.362.074
4,4;50.002.487;45.899.229;54.190.208;-12.361.344
4,6;50.001.564;45.890.448;54.190.205;-12.359.458
4,8;50.000.866;45.883.447;54.190.197;-12.357.972
5;50.001.209;45.875.399;54.190.197;-12.355.318
5,2;50.001.324;45.869.015;54.190.193;-12.352.665
5,4;50.000.862;45.862.097;54.190.189;-12.350.408
5,6;49.999.989;45.853.356;54.190.189;-12.346.195
5,8;4.999.894;4.584.614;54.190.185;-12.341.984
6;49.997.658;45.841.969;54.190.182;-12.338.547
6,2;49.996.376;45.841.993;54.190.182;-12.335.086
6,4;49.995.277;4.583.905;54.190.174;-12.331.224
6,6;49.993.767;45.836.083;54.190.174;-12.327.749
6,8;49.992.024;45.831.354;54.190.174;-12.325.063
7;49.989.414;45.827.449;5.419.017;-12.323.948
7,2;4.998.645;45.824.879;5.419.017;-12.323.612
7,4;49.983.666;45.821.628;54.190.163;-12.323.666
7,6;49.979.954;45.821.782;54.190.159;-12.324.882
7,8;49.975.548;45.820.269;54.190.151;-12.327.272
8;49.971.024;45.820.397;54.190.144;-12.330.436
8,2;49.966.152;45.819.078;54.190.136;-12.334.385
8,4;49.961.861;45.821.329;54.190.125;-12.339.101
8,6;49.958.382;45.822.639;54.190.117;-12.344.595
8,8;49.955.715;45.824.081;54.190.105;-12.349.691
9;49.953.629;45.824.718;54.190.098;-12.355.178
9,2;49.952.354;45.826.039;5.419.009;-12.361.447
9,4;49.952.816;45.828.416;54.190.079;-12.367.709
9,6;49.954.903;45.830.465;54.190.071;-12.374.359
9,8;49.958.962;45.832.411;5.419.006;-12.380.222
