energy,delta,beta
7000,3.8868402e-05,4.46078093e-06
9000,2.35114567e-05,1.75563162e-06
11000,1.56648075e-05,8.28319969e-07
13000,1.11567497e-05,4.42196324e-07
15000,8.33715512e-06,2.58156177e-07
17000,6.45792261e-06,1.61268304e-07
