energy,delta,beta
7000.0,2.62874146e-05,5.92374988e-07
9000.0,1.85082463e-05,1.94653626e-06
11000.0,1.26592995e-05,9.34838056e-07
13000.0,9.11958796e-06,5.01117256e-07
15000.0,6.86011708e-06,2.91664946e-07
17000.0,5.33991306e-06,1.80897061e-07
