thickness,energy,transmission
1,7000.0,0.9898
1,9000.0,0.99514
1,11000.0,0.99732
1,13000.0,0.99837
1,15000.0,0.99894
1,17000.0,0.99927
2,7000.0,0.9797
2,9000.0,0.9903
2,11000.0,0.99465
2,13000.0,0.99675
2,15000.0,0.99788
2,17000.0,0.99854
3,7000.0,0.96971
3,9000.0,0.98549
3,11000.0,0.99199
3,13000.0,0.99513
3,15000.0,0.99682
3,17000.0,0.99781
4,7000.0,0.95982
4,9000.0,0.9807
4,11000.0,0.98934
4,13000.0,0.99351
4,15000.0,0.99576
4,17000.0,0.99708
5,7000.0,0.95002
5,9000.0,0.97593
5,11000.0,0.98669
5,13000.0,0.9919
5,15000.0,0.99471
5,17000.0,0.99635
6,7000.0,0.94033
6,9000.0,0.97118
6,11000.0,0.98405
6,13000.0,0.99029
6,15000.0,0.99365
6,17000.0,0.99562
7,7000.0,0.93074
7,9000.0,0.96646
7,11000.0,0.98141
7,13000.0,0.98868
7,15000.0,0.9926
7,17000.0,0.9949
8,7000.0,0.92125
8,9000.0,0.96176
8,11000.0,0.97879
8,13000.0,0.98707
8,15000.0,0.99155
8,17000.0,0.99417
9,7000.0,0.91185
9,9000.0,0.95709
9,11000.0,0.97617
9,13000.0,0.98546
9,15000.0,0.99049
9,17000.0,0.99344
10,7000.0,0.90255
10,9000.0,0.95243
10,11000.0,0.97355
10,13000.0,0.98386
10,15000.0,0.98944
10,17000.0,0.99272
11,7000.0,0.89334
11,9000.0,0.9478
11,11000.0,0.97095
11,13000.0,0.98226
11,15000.0,0.98839
11,17000.0,0.99199
12,7000.0,0.88423
12,9000.0,0.9432
12,11000.0,0.96835
12,13000.0,0.98066
12,15000.0,0.98734
12,17000.0,0.99126
13,7000.0,0.87521
13,9000.0,0.93861
13,11000.0,0.96576
13,13000.0,0.97907
13,15000.0,0.9863
13,17000.0,0.99054
14,7000.0,0.86628
14,9000.0,0.93405
14,11000.0,0.96317
14,13000.0,0.97748
14,15000.0,0.98525
14,17000.0,0.98982
15,7000.0,0.85744
15,9000.0,0.92951
15,11000.0,0.96059
15,13000.0,0.97589
15,15000.0,0.98421
15,17000.0,0.98909
16,7000.0,0.8487
16,9000.0,0.92499
16,11000.0,0.95802
16,13000.0,0.9743
16,15000.0,0.98316
16,17000.0,0.98837
17,7000.0,0.84004
17,9000.0,0.92049
17,11000.0,0.95546
17,13000.0,0.97272
17,15000.0,0.98212
17,17000.0,0.98765
18,7000.0,0.83147
18,9000.0,0.91602
18,11000.0,0.9529
18,13000.0,0.97114
18,15000.0,0.98108
18,17000.0,0.98693
19,7000.0,0.82299
19,9000.0,0.91156
19,11000.0,0.95035
19,13000.0,0.96956
19,15000.0,0.98004
19,17000.0,0.9862
20,7000.0,0.81459
20,9000.0,0.90713
20,11000.0,0.94781
20,13000.0,0.96798
20,15000.0,0.979
20,17000.0,0.98548
21,7000.0,0.80628
21,9000.0,0.90272
21,11000.0,0.94527
21,13000.0,0.96641
21,15000.0,0.97796
21,17000.0,0.98476
22,7000.0,0.79806
22,9000.0,0.89833
22,11000.0,0.94274
22,13000.0,0.96484
22,15000.0,0.97692
22,17000.0,0.98404
23,7000.0,0.78992
23,9000.0,0.89397
23,11000.0,0.94021
23,13000.0,0.96327
23,15000.0,0.97589
23,17000.0,0.98332
24,7000.0,0.78186
24,9000.0,0.88962
24,11000.0,0.9377
24,13000.0,0.9617
24,15000.0,0.97485
24,17000.0,0.98261
25,7000.0,0.77388
25,9000.0,0.8853
25,11000.0,0.93519
25,13000.0,0.96014
25,15000.0,0.97382
25,17000.0,0.98189
26,7000.0,0.76599
26,9000.0,0.88099
26,11000.0,0.93269
26,13000.0,0.95858
26,15000.0,0.97278
26,17000.0,0.98117
27,7000.0,0.75817
27,9000.0,0.87671
27,11000.0,0.93019
27,13000.0,0.95702
27,15000.0,0.97175
27,17000.0,0.98045
28,7000.0,0.75044
28,9000.0,0.87245
28,11000.0,0.9277
28,13000.0,0.95546
28,15000.0,0.97072
28,17000.0,0.97974
29,7000.0,0.74278
29,9000.0,0.86821
29,11000.0,0.92522
