thickness,energy,transmission
1,7000.0,0.93576
1,9000.0,0.77631
1,11000.0,0.85854
1,13000.0,0.90649
1,15000.0,0.93553
1,17000.0,0.95389
2,7000.0,0.87565
2,9000.0,0.60266
2,11000.0,0.73709
2,13000.0,0.82173
2,15000.0,0.87522
2,17000.0,0.9099
3,7000.0,0.81939
3,9000.0,0.46785
3,11000.0,0.63282
3,13000.0,0.7449
3,15000.0,0.81879
3,17000.0,0.86794
4,7000.0,0.76675
4,9000.0,0.3632
4,11000.0,0.5433
4,13000.0,0.67524
4,15000.0,0.76601
4,17000.0,0.82792
5,7000.0,0.7175
5,9000.0,0.28195
5,11000.0,0.46644
5,13000.0,0.6121
5,15000.0,0.71662
5,17000.0,0.78974
6,7000.0,0.6714
6,9000.0,0.21888
6,11000.0,0.40045
6,13000.0,0.55487
6,15000.0,0.67042
6,17000.0,0.75333
7,7000.0,0.62827
7,9000.0,0.16992
7,11000.0,0.34381
7,13000.0,0.50299
7,15000.0,0.6272
7,17000.0,0.71859
8,7000.0,0.58791
8,9000.0,0.13191
8,11000.0,0.29517
8,13000.0,0.45595
8,15000.0,0.58676
8,17000.0,0.68545
9,7000.0,0.55014
9,9000.0,0.1024
9,11000.0,0.25341
9,13000.0,0.41332
9,15000.0,0.54894
9,17000.0,0.65384
10,7000.0,0.5148
10,9000.0,0.0794971
10,11000.0,0.21757
10,13000.0,0.37467
10,15000.0,0.51355
10,17000.0,0.62369
11,7000.0,0.48173
11,9000.0,0.0617144
11,11000.0,0.18679
11,13000.0,0.33964
11,15000.0,0.48044
11,17000.0,0.59493
12,7000.0,0.45078
12,9000.0,0.0479095
12,11000.0,0.16036
12,13000.0,0.30788
12,15000.0,0.44947
12,17000.0,0.5675
13,7000.0,0.42183
13,9000.0,0.0371926
13,11000.0,0.13768
13,13000.0,0.27909
13,15000.0,0.42049
13,17000.0,0.54133
14,7000.0,0.39473
14,9000.0,0.028873
14,11000.0,0.1182
14,13000.0,0.25299
14,15000.0,0.39338
14,17000.0,0.51637
15,7000.0,0.36937
15,9000.0,0.0224144
15,11000.0,0.10148
15,13000.0,0.22934
15,15000.0,0.36802
15,17000.0,0.49256
16,7000.0,0.34564
16,9000.0,0.0174005
16,11000.0,0.0871251
16,13000.0,0.20789
16,15000.0,0.34429
16,17000.0,0.46984
17,7000.0,0.32344
17,9000.0,0.0135082
17,11000.0,0.0748001
17,13000.0,0.18845
17,15000.0,0.3221
17,17000.0,0.44818
18,7000.0,0.30266
18,9000.0,0.0104865
18,11000.0,0.0642186
18,13000.0,0.17083
18,15000.0,0.30133
18,17000.0,0.42751
19,7000.0,0.28322
19,9000.0,0.0081408
19,11000.0,0.0551341
19,13000.0,0.15486
19,15000.0,0.2819
19,17000.0,0.4078
20,7000.0,0.26502
20,9000.0,0.00631978
20,11000.0,0.0473346
20,13000.0,0.14038
20,15000.0,0.26373
20,17000.0,0.38899
21,7000.0,0.248
21,9000.0,0.00490611
21,11000.0,0.0406385
21,13000.0,0.12725
21,15000.0,0.24673
21,17000.0,0.37106
22,7000.0,0.23206
22,9000.0,0.00380866
22,11000.0,0.0348897
22,13000.0,0.11535
22,15000.0,0.23082
22,17000.0,0.35394
23,7000.0,0.21716
23,9000.0,0.0029567
