IOU Thresholds,video_id,frame,TP,FN,FP,UnmatchedFP,LocA,HOTA,AssA,AssRe,AssPr,DetA,DetRe,DetPr,OWTA,IDF1
0.1000,,,20331,18926,72887,8432,0.6137,0.2139,0.2524,0.8494,0.2734,0.1813,0.5179,0.2181,0.3615,0.3069
0.2000,,,20331,18926,72887,8432,0.6137,0.2139,0.2524,0.8494,0.2734,0.1813,0.5179,0.2181,0.3615,0.3069
0.3000,,,20306,18951,72912,8432,0.6141,0.2136,0.2520,0.8483,0.2731,0.1810,0.5173,0.2178,0.3610,0.3066
0.4000,,,19086,20171,74132,8432,0.6298,0.1980,0.2329,0.7970,0.2566,0.1683,0.4862,0.2047,0.3365,0.2881
0.5000,,,15016,24241,78202,8432,0.6774,0.1490,0.1737,0.6270,0.2016,0.1278,0.3825,0.1611,0.2578,0.2267
0.6000,,,10174,29083,83044,8432,0.7378,0.0961,0.1110,0.4235,0.1370,0.0832,0.2592,0.1091,0.1696,0.1536
0.7000,,,5946,33311,87272,8432,0.8015,0.0539,0.0617,0.2460,0.0803,0.0470,0.1515,0.0638,0.0967,0.0898
0.8000,,,2681,36576,90537,8432,0.8684,0.0236,0.0270,0.1113,0.0364,0.0207,0.0683,0.0288,0.0429,0.0405
0.9000,,,708,38549,92510,8432,0.9337,0.0062,0.0072,0.0295,0.0101,0.0054,0.0180,0.0076,0.0114,0.0107
