thickness,energy,transmission
1,7000.0,0.95884
1,9000.0,0.83732
1,11000.0,0.90103
1,13000.0,0.93611
1,15000.0,0.95663
1,17000.0,0.96931
2,7000.0,0.91938
2,9000.0,0.7011
2,11000.0,0.81185
2,13000.0,0.8763
2,15000.0,0.91514
2,17000.0,0.93957
3,7000.0,0.88155
3,9000.0,0.58704
3,11000.0,0.7315
3,13000.0,0.82031
3,15000.0,0.87545
3,17000.0,0.91074
4,7000.0,0.84527
4,9000.0,0.49154
4,11000.0,0.6591
4,13000.0,0.7679
4,15000.0,0.83748
4,17000.0,0.88279
5,7000.0,0.81048
5,9000.0,0.41158
5,11000.0,0.59387
5,13000.0,0.71884
5,15000.0,0.80115
5,17000.0,0.8557
6,7000.0,0.77712
6,9000.0,0.34462
6,11000.0,0.53509
6,13000.0,0.67291
6,15000.0,0.76641
6,17000.0,0.82944
7,7000.0,0.74514
7,9000.0,0.28856
7,11000.0,0.48213
7,13000.0,0.62991
7,15000.0,0.73317
7,17000.0,0.80399
8,7000.0,0.71448
8,9000.0,0.24161
8,11000.0,0.43441
8,13000.0,0.58967
8,15000.0,0.70137
8,17000.0,0.77931
9,7000.0,0.68507
9,9000.0,0.20231
9,11000.0,0.39142
9,13000.0,0.55199
9,15000.0,0.67095
9,17000.0,0.7554
10,7000.0,0.65688
10,9000.0,0.16939
10,11000.0,0.35268
10,13000.0,0.51672
10,15000.0,0.64185
10,17000.0,0.73222
11,7000.0,0.62984
11,9000.0,0.14184
11,11000.0,0.31777
11,13000.0,0.48371
11,15000.0,0.61401
11,17000.0,0.70975
12,7000.0,0.60392
12,9000.0,0.11876
12,11000.0,0.28632
12,13000.0,0.45281
12,15000.0,0.58738
12,17000.0,0.68797
13,7000.0,0.57907
13,9000.0,0.0994416
13,11000.0,0.25798
13,13000.0,0.42387
13,15000.0,0.5619
13,17000.0,0.66686
14,7000.0,0.55524
14,9000.0,0.0832642
14,11000.0,0.23245
14,13000.0,0.39679
14,15000.0,0.53753
14,17000.0,0.64639
15,7000.0,0.53239
15,9000.0,0.0697185
15,11000.0,0.20944
15,13000.0,0.37144
15,15000.0,0.51422
15,17000.0,0.62656
16,7000.0,0.51047
16,9000.0,0.0583765
16,11000.0,0.18871
16,13000.0,0.34771
16,15000.0,0.49192
16,17000.0,0.60733
17,7000.0,0.48947
17,9000.0,0.0488796
17,11000.0,0.17004
17,13000.0,0.32549
17,15000.0,0.47058
17,17000.0,0.58869
18,7000.0,0.46932
18,9000.0,0.0409277
18,11000.0,0.15321
18,13000.0,0.3047
18,15000.0,0.45017
