thickness,energy,transmission
1,7000,0.72872
1,9000,0.85203
1,11000,0.91179
1,13000,0.9434
1,15000,0.96151
1,17000,0.9726
2,7000,0.53103
2,9000,0.72595
2,11000,0.83136
2,13000,0.89001
2,15000,0.92451
2,17000,0.94594
3,7000,0.38697
3,9000,0.61852
3,11000,0.75803
3,13000,0.83964
3,15000,0.88893
3,17000,0.92002
4,7000,0.28199
4,9000,0.527
4,11000,0.69116
4,13000,0.79212
4,15000,0.85472
4,17000,0.89481
5,7000,0.20549
5,9000,0.44902
5,11000,0.6302
5,13000,0.74729
5,15000,0.82182
5,17000,0.87029
6,7000,0.14975
6,9000,0.38257
6,11000,0.57461
6,13000,0.70499
6,15000,0.79019
6,17000,0.84644
7,7000,0.10912
7,9000,0.32596
7,11000,0.52392
7,13000,0.66509
7,15000,0.75978
7,17000,0.82325
8,7000,0.0795196
8,9000,0.27773
8,11000,0.47771
8,13000,0.62745
8,15000,0.73054
8,17000,0.80069
9,7000,0.0579474
9,9000,0.23663
9,11000,0.43557
9,13000,0.59194
9,15000,0.70243
9,17000,0.77875
10,7000,0.0422273
10,9000,0.20162
10,11000,0.39715
10,13000,0.55844
10,15000,0.67539
10,17000,0.75741
11,7000,0.0307718
11,9000,0.17178
11,11000,0.36211
11,13000,0.52683
11,15000,0.6494
11,17000,0.73665
12,7000,0.0224239
12,9000,0.14636
12,11000,0.33017
12,13000,0.49701
12,15000,0.62441
12,17000,0.71646
13,7000,0.0163407
13,9000,0.1247
13,11000,0.30105
13,13000,0.46889
13,15000,0.60038
13,17000,0.69683
14,7000,0.0119078
14,9000,0.10625
14,11000,0.27449
14,13000,0.44235
14,15000,0.57727
14,17000,0.67774
15,7000,0.0086774
15,9000,0.0905285
15,11000,0.25028
15,13000,0.41731
15,15000,0.55505
15,17000,0.65916
16,7000,0.00632337
16,9000,0.0771326
16,11000,0.2282
16,13000,0.39369
16,15000,0.53369
16,17000,0.6411
17,7000,0.00460796
17,9000,0.0657189
17,11000,0.20807
17,13000,0.37141
17,15000,0.51315
17,17000,0.62353
18,7000,0.0033579
18,9000,0.0559941
18,11000,0.18972
18,13000,0.35039
18,15000,0.4934
18,17000,0.60645
19,7000,0.00244696
19,9000,0.0477084
19,11000,0.17298
19,13000,0.33056
19,15000,0.47441
19,17000,0.58983
20,7000,0.00178314
20,9000,0.0406488
20,11000,0.15773
20,13000,0.31185
20,15000,0.45616
20,17000,0.57366
21,7000,0.00129941
21,9000,0.0346338
21,11000,0.14381
21,13000,0.2942
21,15000,0.4386
21,17000,0.55794
22,7000,0.000946901
22,9000,0.0295088
22,11000,0.13113
22,13000,0.27755
22,15000,0.42172
22,17000,0.54265
23,7000,0.000690024
23,9000,0.0251423
23,11000,0.11956
23,13000,0.26184
23,15000,0.40549
23,17000,0.52778
24,7000,0.000502833
24,9000,0.0214219
24,11000,0.10901
24,13000,0.24702
24,15000,0.38988
24,17000,0.51332
25,7000,0.000366423
25,9000,0.018252
25,11000,0.0993981
25,13000,0.23304
25,15000,0.37488
25,17000,0.49925
26,7000,0.000267019
26,9000,0.0155511
26,11000,0.0906302
26,13000,0.21985
26,15000,0.36045
26,17000,0.48557
27,7000,0.000194581
27,9000,0.0132499
27,11000,0.0826358
27,13000,0.20741
27,15000,0.34658
27,17000,0.47227
28,7000,0.000141795
28,9000,0.0112893
28,11000,0.0753466
28,13000,0.19567
28,15000,0.33324
28,17000,0.45933
29,7000,0.000103329
29,9000,0.00961875
29,11000,0.0687003
29,13000,0.1846
29,15000,0.32042
29,17000,0.44674
30,7000,7.52972e-05
30,9000,0.00819542
30,11000,0.0626403
30,13000,0.17415
30,15000,0.30808
30,17000,0.4345
31,7000,5.48705e-05
31,9000,0.0069827
31,11000,0.0571148
31,13000,0.16429
31,15000,0.29623
31,17000,0.42259
32,7000,3.99851e-05
32,9000,0.00594944
32,11000,0.0520768
32,13000,0.15499
32,15000,0.28483
32,17000,0.41101
33,7000,2.91378e-05
33,9000,0.00506907
33,11000,0.0474831
33,13000,0.14622
33,15000,0.27387
33,17000,0.39975
34,7000,2.12333e-05
34,9000,0.00431898
34,11000,0.0432946
34,13000,0.13795
34,15000,0.26333
34,17000,0.38879
35,7000,1.5473e-05
35,9000,0.00367987
35,11000,0.0394756
35,13000,0.13014
35,15000,0.25319
35,17000,0.37814
36,7000,1.12755e-05
36,9000,0.00313534
36,11000,0.0359935
36,13000,0.12277
36,15000,0.24345
36,17000,0.36778
37,7000,8.21664e-06
37,9000,0.00267139
37,11000,0.0328186
37,13000,0.11583
37,15000,0.23408
37,17000,0.3577
38,7000,5.98761e-06
38,9000,0.00227609
38,11000,0.0299236
38,13000,0.10927
38,15000,0.22507
38,17000,0.3479
39,7000,4.36328e-06
39,9000,0.00193929
39,11000,0.0272841
39,13000,0.10309
39,15000,0.21641
39,17000,0.33836
40,7000,3.1796e-06
40,9000,0.00165232
40,11000,0.0248774
40,13000,0.0972516
40,15000,0.20808
40,17000,0.32909
41,7000,2.31703e-06
41,9000,0.00140782
41,11000,0.022683
41,13000,0.0917475
41,15000,0.20007
41,17000,0.32007
42,7000,1.68846e-06
42,9000,0.0011995
42,11000,0.0206821
42,13000,0.0865549
42,15000,0.19237
42,17000,0.3113
43,7000,1.23041e-06
43,9000,0.001022
43,11000,0.0188578
43,13000,0.0816562
43,15000,0.18497
43,17000,0.30277
44,7000,8.96622e-07
44,9000,0.000870772
44,11000,0.0171943
44,13000,0.0770347
44,15000,0.17785
44,17000,0.29447
45,7000,6.53385e-07
45,9000,0.00074192
45,11000,0.0156776
45,13000,0.0726748
45,15000,0.171
45,17000,0.2864
46,7000,4.76133e-07
46,9000,0.000632134
46,11000,0.0142947
46,13000,0.0685616
46,15000,0.16442
46,17000,0.27856
47,7000,3.46967e-07
47,9000,0.000538594
47,11000,0.0130338
47,13000,0.0646813
47,15000,0.15809
47,17000,0.27092
48,7000,2.52841e-07
48,9000,0.000458896
